Geographical Name;Latitude;Longitude;Generic Term;Province - Territory
Abee;54.2377778;-113.0277778;Hamlet;Alberta
Acadia Valley;51.1569445;-110.2097222;Hamlet;Alberta
Acme;51.4972222;-113.5086111;Village;Alberta
Acheson;53.5502778;-113.7747222;Locality;Alberta
Aetna;49.1338889;-113.24;Hamlet;Alberta
Airdrie;51.2922222;-114.0141667;City;Alberta
Alberta Beach;53.6780555;-114.3511111;Village;Alberta
Alder Flats;52.9330556;-114.9569444;Hamlet;Alberta
Aldersyde;50.6761111;-113.8788889;Hamlet;Alberta
Alhambra;52.3430556;-114.6725;Hamlet;Alberta
Alix;52.3999999;-113.1797221;Village;Alberta
Alliance;52.4344445;-111.7852778;Village;Alberta
Altario;51.9186111;-110.1622222;Hamlet;Alberta
Amisk;52.5655555;-111.0572222;Village;Alberta
Andrew;53.8783333;-112.3352778;Village;Alberta
Anzac;56.4486111;-111.0352778;Hamlet;Alberta
Ardmore;54.3319444;-110.4827778;Hamlet;Alberta
Ardrossan;53.5522222;-113.1438889;Hamlet;Alberta
Arrowwood;50.7394444;-113.1483332;Village;Alberta
Ashmont;54.1291666;-111.5680556;Hamlet;Alberta
Assumption;58.6994444;-118.6872222;Hamlet;Alberta
Athabasca;54.7166666;-113.2841667;Town;Alberta
Atikameg;55.9169444;-115.6513889;Hamlet;Alberta
Atmore;54.8191667;-112.5497222;Hamlet;Alberta
Banff;51.1777778;-115.5736111;Town;Alberta
Barnwell;49.7605556;-112.2633333;Village;Alberta
Barons;49.9966667;-113.0830556;Village;Alberta
Barrhead;54.1216667;-114.4036111;Town;Alberta
Bashaw;52.5830555;-112.9702778;Town;Alberta
Bassano;50.7875;-112.4683333;Town;Alberta
Bawlf;52.9194444;-112.466111;Village;Alberta
Bay Tree;55.825;-119.9061111;Locality;Alberta
Beaumont;53.3525;-113.4152778;Town;Alberta
Beauvallon;53.6588889;-111.3661111;Hamlet;Alberta
Beaver Crossing;54.3605555;-110.2066667;Hamlet;Alberta
Beaver Lake;54.7602778;-111.9097222;Hamlet;Alberta
Beaverlodge;55.2091667;-119.4288889;Town;Alberta
Beiseker;51.385;-113.536111;Village;Alberta
Bellis;54.1427778;-112.1502778;Hamlet;Alberta
Benalto;52.3077777;-114.2783333;Hamlet;Alberta
Benchlands;51.2841667;-114.8044444;Hamlet;Alberta
Bentley;52.4663889;-114.0511111;Village;Alberta
Berwyn;56.1463889;-117.7363889;Village;Alberta
Bezanson;55.2286111;-118.3608333;Hamlet;Alberta
Big Valley;52.0327778;-112.7519444;Village;Alberta
Bindloss;50.88;-110.2736111;Hamlet;Alberta
Bittern Lake;53.0080556;-113.0566667;Village;Alberta
Black Diamond;50.6880556;-114.2344444;Town;Alberta
Blackfalds;52.3783333;-113.7961111;Town;Alberta
Blackfoot;53.2891667;-110.1733333;Hamlet;Alberta
Blue Ridge;54.125;-115.3777778;Hamlet;Alberta
Bluesky;56.073889;-118.238333;Hamlet;Alberta
Bluffton;52.7494444;-114.2916667;Hamlet;Alberta
Bodo;52.1533333;-110.0791667;Hamlet;Alberta
Bon Accord;53.8369444;-113.4122222;Town;Alberta
Bonnyville;54.2672222;-110.7386111;Town;Alberta
Botha;52.3080555;-112.5238888;Village;Alberta
Bow Island;49.8672222;-111.3788889;Town;Alberta
Bowden;51.9322222;-114.0347222;Town;Alberta
Boyle;54.5897222;-112.8066667;Village;Alberta
Bragg Creek;50.9502778;-114.5697222;Hamlet;Alberta
Brazeau Dam;52.9702778;-115.5830556;Hamlet;Alberta
Breton;53.108611;-114.4724999;Village;Alberta
Brocket;49.5466667;-113.7497222;Hamlet;Alberta
Brooks;50.567222;-111.895;City;Alberta
Brosseau;53.7916666;-111.6869444;Hamlet;Alberta
Brownvale;56.1283334;-117.8925;Hamlet;Alberta
Bruce;53.1738889;-112.0386111;Hamlet;Alberta
Bruderheim;53.7997222;-112.9283333;Town;Alberta
Buck Creek;53.1038889;-114.8955556;Hamlet;Alberta
Buck Lake;52.9516667;-114.7733333;Hamlet;Alberta
Buffalo Head Prairie;58.0508333;-116.3494444;Hamlet;Alberta
Buford;53.2475;-113.9311111;Hamlet;Alberta
Busby;53.9480556;-113.8905556;Hamlet;Alberta
Byemoor;51.9727778;-112.2866667;Hamlet;Alberta
Cadogan;52.3191667;-110.4486111;Hamlet;Alberta
Cadomin;53.0291667;-117.3266667;Hamlet;Alberta
Cadotte Lake;56.4672223;-116.3808333;Hamlet;Alberta
Calahoo;53.7111111;-113.9541667;Hamlet;Alberta
Calais;55.0719444;-117.5388889;Hamlet;Alberta
Calgary;51.0458333;-114.0574999;City;Alberta
Calling Lake;55.2144444;-113.1969444;Hamlet;Alberta
Calmar;53.2577778;-113.8108333;Town;Alberta
Cambria;51.3955555;-112.5927778;Hamlet;Alberta
Camrose;53.0247222;-112.8241667;City;Alberta
Canmore;51.0830555;-115.3683333;Town;Alberta
Canyon Creek;55.3719445;-115.0947222;Hamlet;Alberta
Carbon;51.4858333;-113.1505556;Village;Alberta
Carbondale;53.7463889;-113.5269444;Hamlet;Alberta
Carcajou;57.767056;-117.04;Hamlet;Alberta
Cardiff;53.7727778;-113.6;Hamlet;Alberta
Cardston;49.2;-113.3038889;Town;Alberta
Carmangay;50.1294444;-113.1113888;Village;Alberta
Caroline;52.0913888;-114.7427778;Village;Alberta
Carseland;50.8513889;-113.4677778;Hamlet;Alberta
Carstairs;51.5655555;-114.0994444;Town;Alberta
Carvel;53.5308333;-114.21;Hamlet;Alberta
Caslan;54.6311111;-112.5116667;Hamlet;Alberta
Castor;52.2191667;-111.9036111;Town;Alberta
Cereal;51.4183333;-110.8002778;Village;Alberta
Cessford;51.0063889;-111.5566667;Hamlet;Alberta
Champion;50.2397222;-113.1480556;Village;Alberta
Chauvin;52.6936111;-110.1411111;Village;Alberta
Cherhill;53.8191667;-114.6772222;Hamlet;Alberta
Cherry Grove;54.3561111;-110.0752778;Hamlet;Alberta
Cherry Point;56.1877778;-119.9541667;Locality;Alberta
Chestermere;51.0333333;-113.8166667;Town;Alberta
Chinook;51.4494445;-110.9252778;Hamlet;Alberta
Chipman;53.6983333;-112.6377778;Village;Alberta
Chisholm;54.9094445;-114.1688889;Hamlet;Alberta
Clandonald;53.571861;-110.713917;Hamlet;Alberta
Claresholm;50.0197222;-113.5827778;Town;Alberta
Cline River;52.1886111;-116.4788889;Settlement;Alberta
Clive;52.4752777;-113.4483332;Village;Alberta
Clyde;54.15;-113.65;Village;Alberta
Coaldale;49.7277777;-112.6186111;Town;Alberta
Coalhurst;49.7486111;-112.9294444;Town;Alberta
Cochrane;51.2066667;-114.4669444;Town;Alberta
Cold Lake;54.45;-110.1666667;City;Alberta
Colinton;54.6205556;-113.2527778;Hamlet;Alberta
College Heights;52.4891667;-113.7333333;Hamlet;Alberta
Compeer;51.8594444;-110.0130556;Hamlet;Alberta
Condor;52.3263889;-114.5552778;Hamlet;Alberta
Conklin;55.6311111;-111.0788889;Hamlet;Alberta
Consort;52.0077778;-110.7741667;Village;Alberta
Cooking Lake;53.4113889;-113.1216667;Hamlet;Alberta
Coronation;52.0947223;-111.4477778;Town;Alberta
Coutts;49.0027778;-111.9588889;Village;Alberta
Cowley;49.571111;-114.0749999;Village;Alberta
Craigmyle;51.6697222;-112.2430556;Hamlet;Alberta
Cremona;51.5455555;-114.4924999;Village;Alberta
Crooked Creek;55.1708334;-117.8897222;Hamlet;Alberta
Crossfield;51.4305556;-114.0308333;Town;Alberta
Crowsnest Pass;49.5888889;-114.5083333;Town;Alberta
Cynthia;53.2827778;-115.4227778;Hamlet;Alberta
Czar;52.4547222;-110.8283333;Village;Alberta
Darwell;53.6705556;-114.5922222;Hamlet;Alberta
Daysland;52.8641666;-112.255;Town;Alberta
De Winton;50.8230555;-114.0186111;Hamlet;Alberta
DeBolt;55.2216667;-118.0202778;Hamlet;Alberta
Delburne;52.1980555;-113.2347222;Village;Alberta
Delia;51.6305556;-112.3738889;Village;Alberta
Demmitt;55.4555555;-119.8966667;Locality;Alberta
Derwent;53.65;-110.966667;Hamlet;Alberta
Devon;53.3622223;-113.7225;Town;Alberta
Dewberry;53.5880555;-110.525;Village;Alberta
Diamond City;49.7955556;-112.8388889;Hamlet;Alberta
Dickson;52.0566667;-114.3080556;Hamlet;Alberta
Didsbury;51.6594444;-114.1375;Town;Alberta
Dixonville;56.5372222;-117.6708333;Hamlet;Alberta
Donalda;52.5836111;-112.5741667;Village;Alberta
Donnelly;55.7288889;-117.1047221;Village;Alberta
Drayton Valley;53.2241667;-114.9808333;Town;Alberta
Drumheller;51.4644444;-112.7188889;Town;Alberta
Duchess;50.731111;-111.9063888;Village;Alberta
Dunmore;49.9702778;-110.5841667;Hamlet;Alberta
Duvernay;53.7861111;-111.6925;Hamlet;Alberta
Eagle Hill;51.8269444;-114.38;Hamlet;Alberta
East Coulee;51.333333;-112.48333;Hamlet;Alberta
Eckville;52.36;-114.3669444;Town;Alberta
Edberg;52.7847222;-112.7891667;Village;Alberta
Edgerton;52.7586111;-110.4580556;Village;Alberta
Edmonton;53.5344445;-113.4902778;City;Alberta
Edson;53.5836111;-116.4327778;Town;Alberta
Egremont;54.0383333;-113.1261111;Hamlet;Alberta
Elk Point;53.9011111;-110.9005556;Town;Alberta
Elkwater;49.6608333;-110.2816667;Hamlet;Alberta
Elnora;51.9905556;-113.2008333;Village;Alberta
Empress;50.9555556;-110.0058333;Village;Alberta
Enchant;50.17;-112.4225;Hamlet;Alberta
Endiang;51.9538889;-112.1583333;Hamlet;Alberta
Enilda;55.4169445;-116.3113889;Hamlet;Alberta
Entrance;53.3736111;-117.69;Hamlet;Alberta
Entwistle;53.5944445;-114.9958333;Village;Alberta
Erskine;52.3211111;-112.8797222;Hamlet;Alberta
Etzikom;49.4769444;-111.1072222;Hamlet;Alberta
Exshaw;51.0616667;-115.1627778;Hamlet;Alberta
Fabyan;52.8819444;-110.9936111;Hamlet;Alberta
Fairview;56.0672222;-118.3841667;Town;Alberta
Falher;55.7372222;-117.2013889;Town;Alberta
Fallis;53.5852778;-114.6408333;Hamlet;Alberta
Falun;52.9583333;-113.8425;Hamlet;Alberta
Faust;55.3158333;-115.6275;Hamlet;Alberta
Fawcett;54.5405556;-114.0947222;Hamlet;Alberta
Ferintosh;52.7658333;-112.9716667;Village;Alberta
Fifth Meridian;58.6508333;-114.0038889;Hamlet;Alberta
Fitzgerald;59.8616666;-111.6055556;Hamlet;Alberta
Flatbush;54.6891667;-114.1563889;Hamlet;Alberta
Fleet;52.1533333;-111.73;Hamlet;Alberta
Foremost;49.4763889;-111.4469444;Village;Alberta
Forestburg;52.5838889;-112.0644444;Village;Alberta
Fort Chipewyan;58.7144444;-111.1583333;Hamlet;Alberta
Fort Kent;54.3108333;-110.6044444;Hamlet;Alberta
Fort MacKay;57.1811111;-111.5997222;Hamlet;Alberta
Fort Macleod;49.7230555;-113.4041667;Town;Alberta
Fort McMurray;56.726472;-111.380361;Locality;Alberta
Fort Saskatchewan;53.7111111;-113.2177778;City;Alberta
Fort Vermilion;58.39;-116.0166667;Hamlet;Alberta
Fox Creek;54.3941666;-116.8066667;Town;Alberta
Fox Lake;58.4677778;-114.5375;Hamlet;Alberta
Gadsby;52.2925;-112.3466667;Village;Alberta
Gainford;53.5869444;-114.7880556;Hamlet;Alberta
Galahad;52.514167;-111.930555;Village;Alberta
Gibbons;53.8297222;-113.3283333;Town;Alberta
Gift Lake;55.8825;-115.8125;Hamlet;Alberta
Girouxville;55.7536111;-117.3388889;Village;Alberta
Glendon;54.2525;-111.1602778;Village;Alberta
Glenevis;53.7897222;-114.5169444;Hamlet;Alberta
Glenwood;49.3644445;-113.5113889;Village;Alberta
Grande Cache;53.8880556;-119.1186111;Town;Alberta
Grande Prairie;55.1708334;-118.7961111;City;Alberta
Granum;49.8711111;-113.5083333;Town;Alberta
Grassland;54.82;-112.6872222;Hamlet;Alberta
Green Court;54.0077777;-115.2386111;Hamlet;Alberta
Grimshaw;56.1886112;-117.6058333;Town;Alberta
Grouard;55.5202778;-116.1611111;Hamlet;Alberta
Grouard Mission;55.5441667;-116.1536111;Hamlet;Alberta
Gunn;53.7269444;-114.3436111;Hamlet;Alberta
Guy;55.5488889;-117.12;Hamlet;Alberta
Gwynne;52.9866666;-113.1988889;Hamlet;Alberta
Habay;58.8080556;-118.7166667;Hamlet;Alberta
Hairy Hill;53.7633334;-111.9786111;Locality;Alberta
Halkirk;52.2825;-112.1536111;Village;Alberta
Hanna;51.6458334;-111.9252778;Town;Alberta
Hardieville;49.7402778;-112.8280556;Hamlet;Alberta
Hardisty;52.675;-111.3044444;Town;Alberta
Hartleyville;49.3644445;-113.6094444;Hamlet;Alberta
Harvie Heights;51.1252778;-115.385;Hamlet;Alberta
Hay Camp;59.525;-111.4658333;Hamlet;Alberta
Hay Lakes;53.1966666;-113.0572221;Village;Alberta
Hays;50.0980555;-111.7936111;Hamlet;Alberta
Hayter;52.3563889;-110.1077778;Hamlet;Alberta
Hazell;49.63;-114.6644444;Hamlet;Alberta
Heinsburg;53.7675;-110.5216667;Hamlet;Alberta
Heisler;52.6686111;-112.2227778;Village;Alberta
High Level;58.5180555;-117.1288889;Town;Alberta
High Prairie;55.4322223;-116.4944444;Town;Alberta
High River;50.5797223;-113.8741667;Town;Alberta
Highway;53.8894445;-115.4797222;Hamlet;Alberta
Hilda;50.4797222;-110.0327778;Hamlet;Alberta
Hill Spring;49.2930555;-113.6222222;Village;Alberta
Hilliard;53.64;-112.4819444;Hamlet;Alberta
Hines Creek;56.2463889;-118.605;Village;Alberta
Hinton;53.4111111;-117.5627778;Town;Alberta
Hoadley;52.8469444;-114.3725;Hamlet;Alberta
Hobbema;52.8308333;-113.4572222;Hamlet;Alberta
